contact_id,cohort,applicant_status,children,computer_availability,employment_status,salary_range,relationship_and_marital_status,household_income,education_level,lgbtqi_identity,veteran_status,race_ethnicity,create_date,year,ethnicity_simplified,month,weekday
553,2022 Spring - Lehi,Assigned Cohort,3.0,Laptop (Mac),Employed part-time (under 20 hrs),<$15K,Married,$50k - $75k,Bachelor's Degree,,,White,2021-12-31 11:51:00,2021,White,12,4
554,Dead Lead,Non-responsive,1.0,Laptop (Mac),Employed almost full-time (up to 35 hrs),<$15K,Divorced,<$15k,Certificate,,,White,2022-01-02 18:36:00,2022,White,1,6
555,Dead Lead,Non-responsive,4.0,Laptop (PC),Employed full-time (35 hrs+),$25K-$35K,Married,$35k - $50k,Bachelor's Degree,,,Hispanic or Latina,2022-01-02 18:58:00,2022,Hispanic or Latina,1,6
556,Dead Lead,Non-responsive,4.0,Laptop (Mac),Employed almost full-time (up to 35 hrs),$15K-$25K,Married,$75k - $100k,Associates Degree,,,"Hispanic or Latina,American Indian or Alaska Native,White",2022-01-02 22:30:00,2022,Other,1,6
557,Dead Lead,Non-responsive,3.0,Laptop (PC),Employed part-time (under 20 hrs),$15K-$25K,Separated,$15k - $25k,High School Diploma,checked,,"American Indian or Alaska Native,White",2022-01-03 07:40:00,2022,"American Indian or Alaska Native,White",1,0
558,2022 Spring - Lehi,Assigned Cohort,4.0,I do not own a laptop,Employed full-time (35 hrs+),$25K-$35K,Married,$50k - $75k,Some College No Degree,,,Hispanic or Latina,2022-01-03 11:43:00,2022,Hispanic or Latina,1,0
559,2022 Spring - Lehi,Assigned Cohort,1.0,Laptop (PC),Employed full-time (35 hrs+),$50K-$75K,Married,$150k - $200k,Bachelor's Degree,,,White,2022-01-03 12:13:00,2022,White,1,0
560,Dead Lead,Declined Attending,2.0,Laptop (PC),Employed full-time (35 hrs+),$25K-$35K,Married,$75k - $100k,Bachelor's Degree,,,White,2022-01-03 17:04:00,2022,White,1,0
561,Waitlist - Online,Deferred Application,0.0,Laptop (Mac),Employed part-time (under 20 hrs),I do not currently work outside the home.,Single,<$15k,Graduate or Professional Degree,checked,,Black or African American,2022-01-04 09:22:00,2022,Black or African American,1,1
562,Dead Lead,Non-responsive,4.0,Laptop (PC),"No, currently not employed outside the home",I do not currently work outside the home.,Married,<$15k,High School Diploma,,,White,2022-01-04 17:36:00,2022,White,1,1
563,Dead Lead,Non-responsive,1.0,I do not own a laptop,Employed full-time (35 hrs+),I do not currently work outside the home.,Divorced,$35k - $50k,Bachelor's Degree,,,Hispanic or Latina,2022-01-07 10:34:00,2022,Hispanic or Latina,1,4
564,Dead Lead,Non-responsive,2.0,Laptop (PC),Employed part-time (under 20 hrs),<$15K,Divorced,<$15k,High School Diploma,,,White,2022-01-08 11:16:00,2022,White,1,5
565,2022 Spring - Lehi,Assigned Cohort,2.0,I do not own a laptop,Employed full-time (35 hrs+),$35K-$50K,Single,$35k - $50k,High School Diploma,,,"Hispanic or Latina,American Indian or Alaska Native",2022-01-09 16:05:00,2022,Other,1,6
566,Dead Lead,Declined Attending,3.0,Laptop (PC),Employed full-time (35 hrs+),<$15K,Married,<$15k,Some College No Degree,,,,2022-01-10 19:47:00,2022,Other,1,0
567,2022 Spring - Lehi,Assigned Cohort,3.0,Laptop (PC),Employed full-time (35 hrs+),$75K-$100K,Married,$100k - $150k,Bachelor's Degree,,,Would prefer not to answer,2022-01-11 10:52:00,2022,Would prefer not to answer,1,1
568,2022 Spring - Lehi,Assigned Cohort,9.0,Laptop (Mac),"No, currently not employed outside the home",I do not currently work outside the home.,Divorced,$75k - $100k,Graduate or Professional Degree,,,,2022-01-11 13:44:00,2022,Other,1,1
569,2022 Spring - Lehi,Assigned Cohort,0.0,Laptop (Mac),Employed full-time (35 hrs+),$25K-$35K,Single,$25k - $35k,Bachelor's Degree,,,Black or African American,2022-01-11 18:33:00,2022,Black or African American,1,1
570,Dead Lead,Non-responsive,0.0,Laptop (Mac),Employed full-time (35 hrs+),$50K-$75K,Single,$50k - $75k,Graduate or Professional Degree,,,,2022-01-13 20:16:00,2022,Other,1,3
571,Dead Lead,Declined Attending,2.0,Laptop (PC),Employed full-time (35 hrs+),$25K-$35K,Married,$50k - $75k,Some College No Degree,,,Would prefer not to answer,2022-01-14 17:06:00,2022,Would prefer not to answer,1,4
572,2022 Spring - Ogden,Assigned Cohort,2.0,Laptop (PC),Employed part-time (under 20 hrs),<$15K,Divorced,<$15k,Bachelor's Degree,,,Hispanic or Latina,2022-01-17 21:24:00,2022,Hispanic or Latina,1,0
573,2022 Spring - Lehi,Assigned Cohort,2.0,Laptop (PC),Employed full-time (35 hrs+),$25K-$35K,Married,$25k - $35k,Graduate or Professional Degree,,,,2022-01-17 21:24:00,2022,Other,1,0
574,Dead Lead,Declined Attending,4.0,Laptop (PC),"No, currently not employed outside the home",I do not currently work outside the home.,Married,$50k - $75k,Bachelor's Degree,,,,2022-01-17 21:24:00,2022,Other,1,0
575,2022 Spring - Lehi,Assigned Cohort,2.0,Laptop (PC),"No, currently not employed outside the home",I do not currently work outside the home.,Separated,<$15k,High School Diploma,,,"Hispanic or Latina,""Some other race, ethnicity, or origin""",2022-01-17 21:24:00,2022,Other,1,0
576,Dead Lead,Non-responsive,1.0,Laptop (Mac),Employed full-time (35 hrs+),$25K-$35K,Single,$25k - $35k,Associates Degree,,,,2022-01-17 21:24:00,2022,Other,1,0
577,Dead Lead,Non-responsive,4.0,Laptop (Mac),"No, currently not employed outside the home",I do not currently work outside the home.,Married,$100k - $150k,Bachelor's Degree,,,,2022-01-17 21:24:00,2022,Other,1,0
578,2022 Spring - Ogden,Assigned Cohort,2.0,I do not own a laptop,"No, currently not employed outside the home",$15K-$25K,Single,$15k - $25k,High School Diploma,,,Black or African American,2022-01-17 21:24:00,2022,Black or African American,1,0
579,2022 Spring - Ogden,Assigned Cohort,2.0,Laptop (PC),"No, currently not employed outside the home",<$15K,Married,$75k - $100k,Doctoral Degree,,,Hispanic or Latina,2022-01-17 21:24:00,2022,Hispanic or Latina,1,0
580,2022 Spring - Ogden,Assigned Cohort,3.0,Laptop (PC),"No, currently not employed outside the home",I do not currently work outside the home.,Married,$15k - $25k,Certificate,,,Black or African American,2022-01-17 21:24:00,2022,Black or African American,1,0
